Treatment,replicate,# colonies,dilution ,10^dil,cfu/ml,cfu/ g soil
Static,1,320,2,100,640000,1.28E+06
Static,2,344,2,100,688000,1.38E+06
Static,3,340,2,100,680000,1.36E+06
Static,4,368,2,100,736000,1.47E+06
Static,5,148,2,100,296000,5.92E+05
Static,6,218,2,100,436000,8.72E+05
Mixed,1,696,2,100,1392000,2.78E+06
Mixed,2,509,2,100,1018000,2.04E+06
Mixed,3,356,2,100,712000,1.42E+06
Mixed,4,1142,2,100,2284000,4.57E+06
Mixed,5,1548,2,100,3096000,6.19E+06
Mixed,6,1524,2,100,3048000,6.10E+06